horizon,horizon_seconds,train,cost_bps,cum_net,cum_gross,hit_rate,frac_traded,avg_turnover,periods,levels
2,600,3000,0.0,0.6671235909261555,0.6671235909261555,0.5123693266670996,0.9992361747632141,0.24316830351523255,13092,10
2,600,3000,0.25,0.5875346051856197,0.6671235909261555,0.5123693266670996,0.9992361747632141,0.24316830351523255,13092,10
2,600,3000,0.5,0.507945619445084,0.6671235909261555,0.5123693266670996,0.9992361747632141,0.24316830351523255,13092,10
2,600,3000,1.0,0.34876764796401294,0.6671235909261555,0.5123693266670996,0.9992361747632141,0.24316830351523255,13092,10
5,1500,3000,0.0,1.4802140255555614,1.4802140255555614,0.512627197039778,1.0,0.12248032244427899,13089,10
5,1500,3000,0.25,1.4401354020437322,1.4802140255555614,0.512627197039778,1.0,0.12248032244427899,13089,10
5,1500,3000,0.5,1.4000567785319031,1.4802140255555614,0.512627197039778,1.0,0.12248032244427899,13089,10
5,1500,3000,1.0,1.3198995315082447,1.4802140255555614,0.512627197039778,1.0,0.12248032244427899,13089,10
10,3000,3000,0.0,2.2931934831417666,2.2931934831417666,0.5144513356844623,0.975466218281871,0.07250276370192307,13084,10
10,3000,3000,0.25,2.269477829134867,2.2931934831417666,0.5144513356844623,0.975466218281871,0.07250276370192307,13084,10
10,3000,3000,0.5,2.245762175127968,2.2931934831417666,0.5144513356844623,0.975466218281871,0.07250276370192307,13084,10
10,3000,3000,1.0,2.1983308671141706,2.2931934831417666,0.5144513356844623,0.975466218281871,0.07250276370192307,13084,10
20,6000,3000,0.0,4.3546688272585685,4.3546688272585685,0.520092946965555,0.9999235123145174,0.04769640881772882,13074,10
20,6000,3000,0.25,4.339079256036493,4.3546688272585685,0.520092946965555,0.9999235123145174,0.04769640881772882,13074,10
20,6000,3000,0.5,4.323489684814419,4.3546688272585685,0.520092946965555,0.9999235123145174,0.04769640881772882,13074,10
20,6000,3000,1.0,4.292310542370269,4.3546688272585685,0.520092946965555,0.9999235123145174,0.04769640881772882,13074,10
2,600,6000,0.0,0.49077197343832907,0.49077197343832907,0.5121563493547784,0.965021799445105,0.06716208316316459,10092,10
2,600,6000,0.25,0.4738269798562628,0.49077197343832907,0.5121563493547784,0.965021799445105,0.06716208316316459,10092,10
2,600,6000,0.5,0.4568819862741964,0.49077197343832907,0.5121563493547784,0.965021799445105,0.06716208316316459,10092,10
2,600,6000,1.0,0.4229919991100634,0.49077197343832907,0.5121563493547784,0.965021799445105,0.06716208316316459,10092,10
5,1500,6000,0.0,0.996794634156405,0.996794634156405,0.5157924159135376,0.999900882148875,0.11862032913845771,10089,10
5,1500,6000,0.25,0.9668756216394575,0.996794634156405,0.5157924159135376,0.999900882148875,0.11862032913845771,10089,10
5,1500,6000,0.5,0.9369566091225099,0.996794634156405,0.5157924159135376,0.999900882148875,0.11862032913845771,10089,10
5,1500,6000,1.0,0.877118584088615,0.996794634156405,0.5157924159135376,0.999900882148875,0.11862032913845771,10089,10
10,3000,6000,0.0,2.335106999379254,2.335106999379254,0.5191351755839435,1.0,0.12831295835755735,10084,10
10,3000,6000,0.25,2.3027593025773143,2.335106999379254,0.5191351755839435,1.0,0.12831295835755735,10084,10
10,3000,6000,0.5,2.2704116057753745,2.335106999379254,0.5191351755839435,1.0,0.12831295835755735,10084,10
10,3000,6000,1.0,2.2057162121714935,2.335106999379254,0.5191351755839435,1.0,0.12831295835755735,10084,10
20,6000,6000,0.0,5.384718979914668,5.384718979914668,0.5294589074739536,1.0,0.1270546845181711,10074,10
20,6000,6000,0.25,5.352720257618767,5.384718979914668,0.5294589074739536,1.0,0.1270546845181711,10074,10
20,6000,6000,0.5,5.320721535322865,5.384718979914668,0.5294589074739536,1.0,0.1270546845181711,10074,10
20,6000,6000,1.0,5.256724090731064,5.384718979914668,0.5294589074739536,1.0,0.1270546845181711,10074,10
2,600,3000,0.0,0.6692561736826674,0.6692561736826674,0.5121598612137372,0.9994653223342499,0.28837879828327323,13092,20
2,600,3000,0.25,0.5748697930045521,0.6692561736826674,0.5121598612137372,0.9994653223342499,0.28837879828327323,13092,20
2,600,3000,0.5,0.4804834123264368,0.6692561736826674,0.5121598612137372,0.9994653223342499,0.28837879828327323,13092,20
2,600,3000,1.0,0.29171065097020615,0.6692561736826674,0.5121598612137372,0.9994653223342499,0.28837879828327323,13092,20
5,1500,3000,0.0,1.1469450323808648,1.1469450323808648,0.5120353127801918,0.99992359996944,0.13141807929047444,13089,20
5,1500,3000,0.25,1.1039417513850391,1.1469450323808648,0.5120353127801918,0.99992359996944,0.13141807929047444,13089,20
5,1500,3000,0.5,1.060938470389214,1.1469450323808648,0.5120353127801918,0.99992359996944,0.13141807929047444,13089,20
5,1500,3000,1.0,0.9749319083975627,1.1469450323808648,0.5120353127801918,0.99992359996944,0.13141807929047444,13089,20
10,3000,3000,0.0,2.3660920288042626,2.3660920288042626,0.5139097591682573,1.0,0.08734248837844161,13084,20
10,3000,3000,0.25,2.3375223008556745,2.3660920288042626,0.5139097591682573,1.0,0.08734248837844161,13084,20
10,3000,3000,0.5,2.308952572907086,2.3660920288042626,0.5139097591682573,1.0,0.08734248837844161,13084,20
10,3000,3000,1.0,2.2518131170099096,2.3660920288042626,0.5139097591682573,1.0,0.08734248837844161,13084,20
20,6000,3000,0.0,4.606615365810184,4.606615365810184,0.5209928497671791,1.0,0.06200753249620553,13074,20
20,6000,3000,0.25,4.586348203813799,4.606615365810184,0.5209928497671791,1.0,0.06200753249620553,13074,20
20,6000,3000,0.5,4.566081041817414,4.606615365810184,0.5209928497671791,1.0,0.06200753249620553,13074,20
20,6000,3000,1.0,4.5255467178246445,4.606615365810184,0.5209928497671791,1.0,0.06200753249620553,13074,20
2,600,6000,0.0,0.5432262731830708,0.5432262731830708,0.5110997821754646,0.9711652794292509,0.1347338752564622,10092,20
2,600,6000,0.25,0.5092329164558653,0.5432262731830708,0.5110997821754646,0.9711652794292509,0.1347338752564622,10092,20
2,600,6000,0.5,0.4752395597286598,0.5432262731830708,0.5110997821754646,0.9711652794292509,0.1347338752564622,10092,20
2,600,6000,1.0,0.40725284627424907,0.5432262731830708,0.5110997821754646,0.9711652794292509,0.1347338752564622,10092,20
5,1500,6000,0.0,1.1519709124737556,1.1519709124737556,0.5147465727581436,0.999900882148875,0.19499262803018746,10089,20
5,1500,6000,0.25,1.1027888968688415,1.1519709124737556,0.5147465727581436,0.999900882148875,0.19499262803018746,10089,20
5,1500,6000,0.5,1.0536068812639274,1.1519709124737556,0.5147465727581436,0.999900882148875,0.19499262803018746,10089,20
5,1500,6000,1.0,0.955242850054099,1.1519709124737556,0.5147465727581436,0.999900882148875,0.19499262803018746,10089,20
10,3000,6000,0.0,2.277730288406441,2.277730288406441,0.5203185288564157,1.0,0.14034904502671652,10084,20
10,3000,6000,0.25,2.2423482941552058,2.277730288406441,0.5203185288564157,1.0,0.14034904502671652,10084,20
10,3000,6000,0.5,2.2069662999039705,2.277730288406441,0.5203185288564157,1.0,0.14034904502671652,10084,20
10,3000,6000,1.0,2.1362023114015,2.277730288406441,0.5203185288564157,1.0,0.14034904502671652,10084,20
20,6000,6000,0.0,4.566965401624701,4.566965401624701,0.5326975476839237,1.0,0.10496741115922223,10074,20
20,6000,6000,0.25,4.5405293591242515,4.566965401624701,0.5326975476839237,1.0,0.10496741115922223,10074,20
20,6000,6000,0.5,4.514093316623801,4.566965401624701,0.5326975476839237,1.0,0.10496741115922223,10074,20
20,6000,6000,1.0,4.4612212316229005,4.566965401624701,0.5326975476839237,1.0,0.10496741115922223,10074,20

