asset,pi_r2,ci_r2,ci_minus_pi_r2,pi_hit,ci_hit,ci_minus_pi_hit,n,scheme,horizon_bars
BTC,0.45112759521245493,0.5271126605510819,0.07598506533862692,0.7889232354456466,0.8045723853683668,0.015649149922720262,77640,best,0
ETH,0.3846724969525013,0.5017586848960274,0.1170861879435261,0.7840288511076765,0.8145672333848532,0.030538382277176646,77640,best,0
SOL,0.5389146702800269,0.5711218604400095,0.032207190159982524,0.7947578567748583,0.7953374549201443,0.0005795981452859644,77640,best,0
XRP,0.493145288394609,0.5480420174594519,0.054896729064842886,0.7758114374034003,0.7840546110252448,0.008243173621844457,77640,best,0
BTC,0.4618668628010144,0.5621668626164062,0.10029999981539184,0.7917825862957238,0.8085780525502319,0.016795466254508007,77640,integrated,0
ETH,0.41190607255155975,0.5396390433761085,0.1277329708245487,0.7898377125193199,0.8199768160741886,0.030139103554868707,77640,integrated,0
SOL,0.6418811655243735,0.651192948567535,0.009311783043161492,0.8145543534260691,0.8196032972694487,0.005048943843379616,77640,integrated,0
XRP,0.6005502760834229,0.6284162505568955,0.02786597447347261,0.8007856774858321,0.8095182895414734,0.008732612055641353,77640,integrated,0

