horizon_bars,asset,dm_own_minus_cross,p_value,mcs_included_10pct,mcs_error
1,BTC,4.440703414712128,8.978887525333269e-06,cross,
1,ETH,4.61980991701009,3.8470764959132e-06,cross,
1,SOL,2.3428767951251763,0.019138212661074,cross,
1,XRP,4.814666672756554,1.4772289710761412e-06,cross,
2,BTC,1.395325946275969,0.1629215637942387,"cross,own",
2,ETH,6.155748330143709,7.508825277695807e-10,cross,
2,SOL,-2.928122964756697,0.003411142060291721,own,
2,XRP,-2.9022386956272026,0.003706103205424493,own,
3,BTC,0.3308620041342099,0.7407496165828946,"cross,own",
3,ETH,-1.1200502031026796,0.26269583542464164,"cross,own",
3,SOL,-4.8984329596875,9.67980132684496e-07,own,
3,XRP,-4.2818448533304885,1.8557248357523236e-05,own,
5,BTC,-2.531141872329913,0.011371142956124961,own,
5,ETH,-0.4273748131040112,0.6691075353307028,"cross,own",
5,SOL,-7.400134552426285,1.374146987331438e-13,own,
5,XRP,4.450027316557565,8.59786545687949e-06,cross,
10,BTC,1.2397005154208263,0.21508993535856688,"cross,own",
10,ETH,0.1275224165676549,0.8985272625927208,"cross,own",
10,SOL,-6.713150971441276,1.9177084292432107e-11,own,
10,XRP,-0.21499464483006842,0.8297720587256177,"cross,own",

