extension,source,target,horizon_bars,own_r2,free_r2,propagator_r2,free_minus_own_r2,prop_minus_own_r2,free_hit,prop_hit,model,r2,hit,n
propagator,BTC,ETH,1,-0.0027887861226632005,-0.005908100732710642,-0.0031077023589487496,-0.003119314610047441,-0.0003189162362855491,0.49545161705965723,0.4973070480608169,,,,
propagator,BTC,ETH,2,-0.005254013313234163,-0.010049624077351327,-0.005830915044934715,-0.004795610764117164,-0.000576901731700552,0.5000064425517659,0.5020551740133232,,,,
propagator,BTC,ETH,5,-0.009037581736076827,-0.016669381128176397,-0.009654062333781965,-0.00763179939209957,-0.000616480597705138,0.5012627889596165,0.5021518954719996,,,,
propagator,BTC,SOL,1,-0.002605527458891199,-0.005412666189517301,-0.0029499035987010647,-0.002807138730626102,-0.0003443761398098655,0.45675814972297385,0.4568998840355624,,,,
propagator,BTC,SOL,2,-0.0036542747504983986,-0.008223443811642195,-0.004282886418630172,-0.004569169061143796,-0.0006286116681317733,0.495728588179206,0.49607648597456483,,,,
propagator,BTC,SOL,5,-0.006000310761843597,-0.014889500072402972,-0.007298886830618523,-0.008889189310559376,-0.001298576068774926,0.4995747751462516,0.5033244852202149,,,,
propagator,BTC,XRP,1,-0.003290238324227035,-0.006382379112580994,-0.003739254089855981,-0.0030921407883539587,-0.0004490157656289462,0.4634969720396856,0.465043164540652,,,,
propagator,BTC,XRP,2,-0.004837162254814009,-0.009109089417412619,-0.005432563769655729,-0.00427192716259861,-0.0005954015148417202,0.49425968637658,0.497197489981832,,,,
propagator,BTC,XRP,5,-0.008335704175980618,-0.015133613994970041,-0.008911059006640132,-0.006797909818989423,-0.0005753548306595135,0.49889183825992833,0.5006185088781795,,,,
propagator,ETH,SOL,1,-0.002605527458891199,-0.005126445909337196,-0.0031196035097853514,-0.002520918450445997,-0.0005140760508941522,0.45879396984924625,0.4566293003478933,,,,
propagator,ETH,SOL,2,-0.0036542747504983986,-0.008218683815287786,-0.004712414032632228,-0.004564409064789388,-0.0010581392821338298,0.49661766032290067,0.4951745287273383,,,,
propagator,ETH,SOL,5,-0.006000310761843597,-0.013038338231397217,-0.007872728602507983,-0.0070380274695536205,-0.0018724178406643865,0.5020488106589697,0.5029636883746103,,,,
propagator,ETH,XRP,1,-0.003290238324227035,-0.0062773599719285755,-0.0038592671665964584,-0.0029871216477015405,-0.0005690288423694234,0.46434737791521713,0.46354851178971784,,,,
propagator,ETH,XRP,2,-0.004837162254814009,-0.00944741404654259,-0.00572305398719597,-0.004610251791728581,-0.0008858917323819604,0.4972103750853638,0.49780308984782695,,,,
propagator,ETH,XRP,5,-0.008335704175980618,-0.015706647818719555,-0.009359434878386086,-0.007370943642738936,-0.0010237307024054676,0.49945880473159293,0.5007860216993532,,,,
xgboost_check,ALL,SOL,1,,,,,,,,LASSO,1.8069531002251615e-05,0.458497616286561,77610.0
xgboost_check,ALL,SOL,1,,,,,,,,XGBoost,-0.0566173159540575,0.45717046772323156,77610.0

