horizon_bars,horizon_seconds,cost_bps,cum_net,cum_gross,mean_bps,hit_rate,frac_traded,avg_turnover,sharpe_annual,periods
1,60,0.0,0.2167274205757948,0.2167274205757948,0.02792699189173311,0.4930294531307831,0.8299722955995104,0.11600701617002455,3.0388926145558868,77605
1,60,0.5,-0.23340880391794278,0.2167274205757948,-0.03007651619327914,0.4930294531307831,0.8299722955995104,0.11600701617002455,-3.2722062727203265,77605
1,60,1.0,-0.6835450284116804,0.2167274205757948,-0.0880800242782914,0.4930294531307831,0.8299722955995104,0.11600701617002455,-9.572739259571888,77605
2,120,0.0,0.862761534024149,0.862761534024149,0.11117487939077225,0.5022656245709044,0.9908381011288078,0.3768327503518826,5.7110133405778365,77604
2,120,0.5,-0.5994249038912254,0.862761534024149,-0.07724149578516898,0.5022656245709044,0.9908381011288078,0.3768327503518826,-3.9663641426167624,77604
2,120,1.0,-2.0616113418066004,0.862761534024149,-0.2656578709611103,0.5022656245709044,0.9908381011288078,0.3768327503518826,-13.625014845793485,77604
3,180,0.0,0.8607894526319624,0.8607894526319624,0.11092218762573126,0.5029222703864251,0.998389237529477,0.6558702806270642,3.9365688099982656,77603
3,180,0.5,-1.6840856167431415,0.8607894526319624,-0.21701295268780094,0.5029222703864251,0.998389237529477,0.6558702806270642,-7.699095631056584,77603
3,180,1.0,-4.228960686118246,0.8607894526319624,-0.5449480930013332,0.5029222703864251,0.998389237529477,0.6558702806270642,-19.314756940757615,77603
5,300,0.0,0.48469680819521455,0.48469680819521455,0.06246012399263083,0.502050404835215,0.9995360884524684,0.50118297349769,1.3148874469227838,77601
5,300,0.5,-1.4599181881244974,0.48469680819521455,-0.18813136275621414,0.502050404835215,0.9995360884524684,0.50118297349769,-3.959510311485421,77601
5,300,1.0,-3.4045331844442095,0.48469680819521455,-0.43872284950505913,0.502050404835215,0.9995360884524684,0.50118297349769,-9.228429529152193,77601
10,600,0.0,0.8952651332102481,0.8952651332102481,0.11537516537066964,0.5030222721715557,0.9997680292798597,0.3471979977595572,1.2647573235602485,77596
10,600,0.5,-0.4517936584972817,0.8952651332102481,-0.05822383350910894,0.5030222721715557,0.9997680292798597,0.3471979977595572,-0.6382161502721079,77596
10,600,1.0,-1.798852450204812,0.8952651332102481,-0.23182283238888757,0.5030222721715557,0.9997680292798597,0.3471979977595572,-2.540688274269986,77596

