horizon_bars,horizon_seconds,asset,own_r2,cross_r2,cross_minus_own_r2,own_hit,cross_hit,cross_minus_own_hit,n,alpha
1,60,BTC,-0.0022900115254971265,9.610348426414284e-05,0.0023861150097612693,0.48906068805566294,0.48872567968045355,-0.0003350083752093891,77610,2.6510296402352676e-05
1,60,ETH,-0.0027887861226632005,-9.951541270059039e-05,0.00268927070996261,0.49460121118412576,0.49217884293261177,-0.0024223682515139844,77610,4.115131794460505e-05
1,60,SOL,-0.002605527458891199,-0.0014713703996129812,0.001134157059278218,0.45642314134776446,0.4557273547223296,-0.0006957866254348466,77610,1.0667107193758442e-05
1,60,XRP,-0.003290238324227035,-0.0002506624244680289,0.003039575899759006,0.463831980414895,0.46331658291457284,-0.0005153975003221456,77610,3.233857327261006e-05
2,120,BTC,-0.0043921400552995316,-0.003371249772391227,0.0010208902829083044,0.49964565965287533,0.5001610637941476,0.0005154041412722687,77609,1.1947773604434423e-05
2,120,ETH,-0.005254013313234163,-0.00033047670297081666,0.004923536610263346,0.5007537785566107,0.5035756162300764,0.002821837673465666,77609,5.792838652439686e-05
2,120,SOL,-0.0036542747504983986,-0.005667608026401538,-0.0020133332759031397,0.4952776095555928,0.49351235037173524,-0.0017652591838575593,77609,1.1293732168601489e-05
2,120,XRP,-0.004837162254814009,-0.006961716725944811,-0.0021245544711308018,0.4983184939890992,0.4951874138308701,-0.003131080158229105,77609,8.251109616463653e-06
3,180,BTC,-0.005999819178756249,-0.00567847401282795,0.00032134516592829954,0.500154623234718,0.5036336460158747,0.0034790227811566377,77608,1.3523593815994133e-05
3,180,ETH,-0.006892761045935281,-0.007927994179047548,-0.0010352331331122677,0.5014173796515823,0.5030151530770024,0.0015977734254201126,77608,1.300996211307173e-05
3,180,SOL,-0.004385310551734856,-0.00910105451306853,-0.004715743961333674,0.5024353159468096,0.4991495722090506,-0.0032857437377589727,77608,1.2578487575317708e-05
3,180,XRP,-0.006143609373519876,-0.01041840859274501,-0.004274799219225134,0.5027316771466859,0.49725543758375423,-0.00547623956293164,77608,8.712763126739008e-06
5,300,BTC,-0.008710686429820536,-0.012584735175341644,-0.003874048745521108,0.5013916449759039,0.5042264773342268,0.002834832358322825,77606,1.1528889472547073e-05
5,300,ETH,-0.009037581736076827,-0.009584290458764189,-0.0005467087226873613,0.4990980078859882,0.5015333865938201,0.0024353787078318923,77606,2.2878579303693557e-05
5,300,SOL,-0.006000310761843597,-0.01777264988117655,-0.011772339119332953,0.5026415483338917,0.5005798520732933,-0.002061696260598489,77606,1.0384673171669521e-05
5,300,XRP,-0.008335704175980618,-0.0026245726497449162,0.005711131526235702,0.5011983609514729,0.5032858284153288,0.0020874674638559076,77606,8.762557393164188e-05
10,600,BTC,-0.012758135303872598,-0.010351525154492558,0.0024066101493800396,0.5051352431025373,0.5071326400432984,0.0019973969407610648,77601,4.8645748765106774e-05
10,600,ETH,-0.012236555571849106,-0.012012288150513362,0.0002242674213357443,0.5038337134830737,0.4982796613445703,-0.005554052138503407,77601,6.33180716083654e-05
10,600,SOL,-0.00709291153954128,-0.024307756236448652,-0.017214844696907372,0.5054445174675584,0.5020553858842025,-0.0033891315833558533,77601,2.0786885093467638e-05
10,600,XRP,-0.011495869206836762,-0.011920291104461134,-0.0004244218976243719,0.5007151969691113,0.5033182562080386,0.002603059238927341,77601,5.630290206888417e-05

