spec,bar_s,scheme,lagset,horizon,horizon_seconds,levels,train,test,step,dm_own_minus_cross,p_own_vs_cross,dm_car_minus_cross,p_car_vs_cross,dm_placebo_cross_minus_real_cross,p_placebo_vs_real_cross,mcs_included_10pct,p_own_vs_cross_bonf684,p_own_vs_cross_holm684,p_own_vs_cross_bh684,p_car_vs_cross_bonf684,p_car_vs_cross_holm684,p_car_vs_cross_bh684,p_placebo_vs_real_cross_bonf684,p_placebo_vs_real_cross_holm684,p_placebo_vs_real_cross_bh684
subminute,1,best,single_bar,1,1,10,604800,86400,604800,19.471548563033174,2.0338239515064237e-84,8.35313573848722,6.66142815761761e-17,19.464883149264924,2.31622604826618e-84,cross,1.3911355828303938e-81,1.3850341109758745e-81,3.4778389570759844e-82,4.5564168598104453e-14,4.5564168598104453e-14,4.5564168598104453e-14,1.5842986170140672e-81,1.5773499388692687e-81,3.960746542535168e-82
subminute,1,sum,single_bar,1,1,10,604800,86400,604800,25.059762586639682,1.613641801748878e-138,6.743425697230514,1.5483553247855145e-11,25.060119704817527,1.5992575739178243e-138,cross,1.1037309923962327e-135,1.1021173505944838e-135,5.518654961981163e-136,1.059075042153292e-08,1.0559783315037209e-08,3.530250140510973e-09,1.0938921805597918e-135,1.092292922985874e-135,5.469460902798959e-136
subminute,1,distance,single_bar,1,1,10,604800,86400,604800,23.316064765705335,3.450995795020383e-120,6.676807510775785,2.444165767509614e-11,23.3117438143829,3.8171098468780256e-120,cross,2.3604811237939422e-117,2.3535791322039013e-117,7.868270412646474e-118,1.671809384976576e-08,1.664476887674047e-08,4.17952346244144e-09,2.6109031352645696e-117,2.6032689155708136e-117,8.703010450881898e-118
subminute,1,pca,single_bar,1,1,10,604800,86400,604800,26.942635176772757,8.688056289819225e-160,6.84514285060767,7.647314113504536e-12,26.946834913024322,7.758362007426988e-160,cross,5.94263050223635e-157,5.94263050223635e-157,5.94263050223635e-157,5.230762853637103e-09,5.223115539523598e-09,2.6153814268185514e-09,5.30671961308006e-157,5.30671961308006e-157,5.30671961308006e-157
subminute,5,best,single_bar,1,5,10,120960,17280,120960,8.21553456189214,2.1332207874650853e-16,5.565697850083952,2.616685270829751e-08,8.431464212035573,3.4512984098307214e-17,cross,1.4591230186261184e-13,1.4441904731138628e-13,1.823903773282648e-14,1.7898127252475498e-05,1.776729298893401e-05,2.983021208745916e-06,2.3606881123242133e-14,2.3365290234553983e-14,2.9508601404052666e-15
subminute,5,sum,single_bar,1,5,10,120960,17280,120960,10.731983789206103,7.41133264760788e-27,5.3721041758186985,7.79694351285258e-08,10.683877248596332,1.2454058778741764e-26,cross,5.06935153096379e-24,5.032294867725751e-24,8.448919218272983e-25,5.333109362791165e-05,5.2863277017140494e-05,7.618727661130236e-06,8.518576204659367e-24,8.456305910765658e-24,1.419762700776561e-24
subminute,5,distance,single_bar,1,5,10,120960,17280,120960,10.039822898633512,1.0410816078201008e-23,5.292416820645842,1.2092455054262007e-07,10.019498404458583,1.2787988454383647e-23,cross,7.120998197489489e-21,7.058533301020284e-21,1.0172854567842127e-21,8.271239257115213e-05,8.186592071735379e-05,1.0339049071394016e-05,8.746984102798415e-21,8.670256172072113e-21,1.2495691575426307e-21
subminute,5,pca,single_bar,1,5,10,120960,17280,120960,11.741396665865373,8.143009032539295e-32,5.656031147767831,1.552690855161118e-08,11.691323609105536,1.4692881658062695e-31,cross,5.569818178256878e-29,5.537246142126721e-29,1.1139636356513756e-29,1.0620405449302047e-05,1.0558297815095602e-05,2.1240810898604093e-06,1.0049931054114884e-28,9.991159527482632e-29,2.009986210822977e-29
subminute,10,best,single_bar,1,10,10,60480,8640,60480,3.5926439682827573,0.0003276046692160321,1.5990379974328988,0.10981749183119989,3.8918203954096744,9.960368084636495e-05,"car,cross",0.22408159374376596,0.2204779423823896,0.01867346614531383,1.0,1.0,1.0,0.06812891769891363,0.06713288089044998,0.006193537972628512
subminute,10,sum,single_bar,1,10,10,60480,8640,60480,3.885507360173821,0.00010222737524508238,0.7972127560956631,0.42533067338815234,3.7849540646759254,0.00015388832286913367,"car,cross",0.06992352466763635,0.06890125091518552,0.006356684060694214,1.0,1.0,1.0,0.10525961284248743,0.10356684129092696,0.00877163440354062
subminute,10,distance,single_bar,1,10,10,60480,8640,60480,4.133414630087272,3.5790404208213905e-05,1.204726926643743,0.2283135494252598,4.160265619330926,3.1832520590678966e-05,"car,cross",0.024480636478418312,0.024158522840544386,0.0024480636478418313,1.0,1.0,1.0,0.021773444084024412,0.021486951398708303,0.002177344408402441
subminute,10,pca,single_bar,1,10,10,60480,8640,60480,4.521522063610119,6.151532700859884e-06,1.1434229288723285,0.25286765672129025,4.511443389470165,6.45114634488347e-06,"car,cross",0.00420764836738816,0.004158436105781282,0.00046751648526535114,1.0,1.0,1.0,0.0044125840999002935,0.004360974929141226,0.0004902871222111437

